StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID21,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q11,Q12,Q13,Q14,Q15,Q16,Q17
2/26/25 12:31,2/26/25 12:31,Survey Preview,100,8,TRUE,2/26/25 12:31,R_7X1x5aw4puf48xz,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:32,2/26/25 12:32,Survey Preview,100,12,TRUE,2/26/25 12:32,R_7RadKcCsuH5bpf9,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:34,2/26/25 12:34,Survey Preview,100,10,TRUE,2/26/25 12:34,R_7Em9Nz75LRuUk5r,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:45,2/26/25 12:45,Survey Preview,100,12,TRUE,2/26/25 12:45,R_7G2MQ2gZFBIjooz,preview,EN,,,,,,,,,,,,,,,
2/27/25 8:27,2/27/25 8:28,IP Address,100,47,TRUE,2/27/25 8:28,R_1iCQAiDeUiTmQEL,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker B,Sneaker B for $200-$300,Sneaker B,Sneaker A
2/27/25 8:27,2/27/25 8:28,IP Address,100,47,TRUE,2/27/25 8:28,R_6NP9gtxH9mAVDhT,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 8:27,2/27/25 8:29,IP Address,100,87,TRUE,2/27/25 8:29,R_1mPMLkPCll0UcB0,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 8:28,2/27/25 8:29,IP Address,100,47,TRUE,2/27/25 8:29,R_1ExKo1JSrsmEhM4,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:28,2/27/25 8:29,IP Address,100,73,TRUE,2/27/25 8:29,R_6ZCCiqLlkF3EMp9,qr,EN,Male,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker B,Sneaker B for $200-$300,Sneaker A,Sneaker B
2/27/25 8:27,2/27/25 8:29,IP Address,100,105,TRUE,2/27/25 8:29,R_6ZPNcoMOwaO4dF3,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,47,TRUE,2/27/25 8:30,R_6kTeo1dQXrv8EvT,qr,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,27,TRUE,2/27/25 8:30,R_7uxdvQal1rF8RcB,qr,EN,Male,,,,,,,,Sneaker B,Sneaker A,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 8:27,2/27/25 8:30,IP Address,100,142,TRUE,2/27/25 8:30,R_8C1uJ8nTa1vZjtD,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:28,2/27/25 8:30,IP Address,100,136,TRUE,2/27/25 8:30,R_8XiHAJ30C1AVzZu,qr,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,71,TRUE,2/27/25 8:30,R_7YgNotxpDP9V9Lq,qr,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,49,TRUE,2/27/25 8:30,R_2zknfutPV1Pcx2a,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,43,TRUE,2/27/25 8:30,R_6EnWuMmpv0CdqJJ,qr,EN,Male,,,,,,,,Sneaker B,Sneaker A,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 8:30,2/27/25 8:30,IP Address,100,43,TRUE,2/27/25 8:30,R_1OcW3SgADUBTTTb,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:29,2/27/25 8:30,IP Address,100,61,TRUE,2/27/25 8:30,R_10I5A9Koj1NHIrW,qr,EN,Female,,,,,,,,Sneaker B,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 8:29,2/27/25 8:31,IP Address,100,69,TRUE,2/27/25 8:31,R_7jsyJJvZFj4kcut,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:29,2/27/25 8:31,IP Address,100,109,TRUE,2/27/25 8:31,R_70OPNuCunTffdMs,qr,EN,Female,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker B,Sneaker A for $100-$200,Sneaker B,Sneaker B
2/27/25 8:30,2/27/25 8:31,IP Address,100,86,TRUE,2/27/25 8:31,R_73j974Pydxhm9ZV,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:31,2/27/25 8:31,IP Address,100,54,TRUE,2/27/25 8:31,R_7Fa0FNhzDB6usZa,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 8:30,2/27/25 8:32,IP Address,100,86,TRUE,2/27/25 8:32,R_1zHoslo5dyH44hz,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 8:32,2/27/25 8:33,IP Address,100,55,TRUE,2/27/25 8:33,R_1g5Z1b2kD61N30M,anonymous,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:33,2/27/25 8:34,IP Address,100,86,TRUE,2/27/25 8:34,R_7NrJkLrqGXbb0PI,qr,EN,Female,,,,,,,,Sneaker A,Sneaker B,Sneaker B,Sneaker B,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 8:27,2/27/25 8:38,IP Address,100,703,TRUE,2/27/25 8:38,R_1qxxnCZzgEDwJot,anonymous,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 8:41,2/27/25 8:43,IP Address,100,117,TRUE,2/27/25 8:43,R_5fqIbn4ylI46OXQ,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:41,2/27/25 8:43,IP Address,100,133,TRUE,2/27/25 8:43,R_5n11t4bB37795B0,qr,EN,Male,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker A,Sneaker B for $200-$300,Sneaker A,Sneaker A
2/27/25 8:50,2/27/25 8:51,IP Address,100,98,TRUE,2/27/25 8:51,R_6P1LQOSqvN2cGzf,anonymous,EN,Male,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 8:55,2/27/25 8:55,IP Address,100,35,TRUE,2/27/25 8:55,R_5nJddxNN84g9x7N,qr,EN,Male,,,,,,,,Sneaker B,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 9:02,2/27/25 9:03,IP Address,100,55,TRUE,2/27/25 9:03,R_11Y1qUaeKoZlLn8,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 9:02,2/27/25 9:03,IP Address,100,42,TRUE,2/27/25 9:03,R_2wRAcszBSDBBdSQ,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:02,2/27/25 9:03,IP Address,100,60,TRUE,2/27/25 9:03,R_2rMzJvgJeqkASAy,qr,EN,Male,,,,,,,,Sneaker A,Sneaker B,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 9:03,2/27/25 9:03,IP Address,100,28,TRUE,2/27/25 9:03,R_7ckSReW5w9DH3gJ,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:03,2/27/25 9:04,IP Address,100,45,TRUE,2/27/25 9:04,R_5Rkg5ooySJxV5ln,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 9:02,2/27/25 9:04,IP Address,100,106,TRUE,2/27/25 9:04,R_7egAK8s6cCJqROw,qr,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:03,2/27/25 9:04,IP Address,100,76,TRUE,2/27/25 9:04,R_5il3VM7tLPmMKXa,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker B
2/27/25 9:04,2/27/25 9:05,IP Address,100,38,TRUE,2/27/25 9:05,R_54uEE58FwJF0tF2,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 9:03,2/27/25 9:05,IP Address,100,89,TRUE,2/27/25 9:05,R_573zymVAX2nGKnI,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 9:04,2/27/25 9:05,IP Address,100,45,TRUE,2/27/25 9:05,R_1kT8KGA1teFC8zB,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 9:04,2/27/25 9:05,IP Address,100,61,TRUE,2/27/25 9:05,R_1FQkaMdUoYeAciF,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 9:04,2/27/25 9:05,IP Address,100,79,TRUE,2/27/25 9:05,R_1wmL0bYjdw3cWe9,qr,EN,Male,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker A (Regular Release),,,,,,,
2/27/25 9:02,2/27/25 9:05,IP Address,100,204,TRUE,2/27/25 9:05,R_22cngEhcpYTsBVP,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 9:05,2/27/25 9:06,IP Address,100,58,TRUE,2/27/25 9:06,R_7Jwa0vO21YBCYRT,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 9:05,2/27/25 9:06,IP Address,100,81,TRUE,2/27/25 9:06,R_5LS571NihG2SyPE,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker B
2/27/25 9:05,2/27/25 9:06,IP Address,100,93,TRUE,2/27/25 9:06,R_5pXamqBmwe67azc,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:05,2/27/25 9:06,IP Address,100,93,TRUE,2/27/25 9:06,R_5gjsDVGgKuE2sSg,qr,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:07,2/27/25 9:08,IP Address,100,32,TRUE,2/27/25 9:08,R_4dnEPfF1GH6hJ7U,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 9:07,2/27/25 9:08,IP Address,100,49,TRUE,2/27/25 9:08,R_1J9mbSXPmyNsOVb,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 9:08,2/27/25 9:08,IP Address,100,48,TRUE,2/27/25 9:08,R_4aJriDZjzwF72LJ,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 9:07,2/27/25 9:09,IP Address,100,79,TRUE,2/27/25 9:09,R_5B8S446GopyeBqi,qr,EN,Male,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker A,Sneaker B for $200-$300,Sneaker A,Sneaker A
2/27/25 9:53,2/27/25 9:54,IP Address,100,47,TRUE,2/27/25 9:54,R_3ilH4hudSiP5k9r,anonymous,EN,Female,Sneaker A (Regular Release),,,Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,,Sneaker A (Regular Release),,,,,,,
2/27/25 9:53,2/27/25 9:54,IP Address,100,60,TRUE,2/27/25 9:54,R_69u20hC5F9I7cKl,anonymous,EN,Male,,,,,,,,Sneaker B,Sneaker A,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 8:41,2/27/25 9:55,IP Address,100,4461,TRUE,2/27/25 9:55,R_57wXLuzutsvs6p8,qr,EN,Female,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 10:21,2/27/25 10:22,IP Address,100,67,TRUE,2/27/25 10:22,R_41dMYjsu1Jma7Fq,anonymous,EN,Female,,,,,,,,Sneaker A,Sneaker B,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 10:24,2/27/25 10:34,IP Address,100,618,TRUE,2/27/25 10:34,R_74CKHg0VwENEkCh,anonymous,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 11:20,2/27/25 11:21,IP Address,100,81,TRUE,2/27/25 11:21,R_5rIKBsU3v2hqfzN,anonymous,EN,Male,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 11:26,2/27/25 11:26,IP Address,100,51,TRUE,2/27/25 11:26,R_5ibnTf4oadnz3a3,anonymous,EN,Male,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 11:48,2/27/25 11:49,IP Address,100,41,TRUE,2/27/25 11:49,R_1iAJcSXhXXD4VmF,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 11:48,2/27/25 11:50,IP Address,100,89,TRUE,2/27/25 11:50,R_3TCCpQapwspnp9D,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 11:51,2/27/25 11:52,IP Address,100,43,TRUE,2/27/25 11:52,R_7eFmkV4kyApqiiJ,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker B,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 11:50,2/27/25 11:52,IP Address,100,112,TRUE,2/27/25 11:52,R_2o5Nyl3AYWUHORb,anonymous,EN,Female,,,,,,,,Sneaker A,Sneaker B,Sneaker A,Sneaker A,Sneaker B for $200-$300,Sneaker B,Sneaker A
2/27/25 11:48,2/27/25 11:53,IP Address,100,290,TRUE,2/27/25 11:53,R_5hART6eaCmlBuOl,qr,EN,Male,,,,,,,,Sneaker B,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 11:50,2/27/25 11:56,IP Address,100,329,TRUE,2/27/25 11:56,R_6xQXLksAwbEqDi0,qr,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 11:56,2/27/25 11:58,IP Address,100,66,TRUE,2/27/25 11:58,R_1OHHPg1P2GCuhGj,anonymous,EN,Female,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker A (Regular Release),Sneaker A (Regular Release),,,,,,,
2/27/25 13:51,2/27/25 13:52,IP Address,100,66,TRUE,2/27/25 13:52,R_6y1QOeTgCEGB5tl,qr,EN,Male,,,,,,,,Sneaker B,Sneaker B,Sneaker A,Sneaker A,Sneaker B for $200-$300,Sneaker A,Sneaker B
2/27/25 13:51,2/27/25 13:53,IP Address,100,111,TRUE,2/27/25 13:53,R_1lGrtliRsGyuOSt,qr,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 13:51,2/27/25 13:54,IP Address,100,165,TRUE,2/27/25 13:54,R_1erVTG86TpOrjCq,qr,EN,Male,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 14:03,2/27/25 14:03,IP Address,100,52,TRUE,2/27/25 14:03,R_9ypFaiVjxhUHfSU,qr,EN,Female,Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 14:03,2/27/25 14:04,IP Address,100,66,TRUE,2/27/25 14:04,R_7EnkWJ5lWcyR6eT,qr,EN,Female,,,,,,,,Sneaker A,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 14:03,2/27/25 14:04,IP Address,100,34,TRUE,2/27/25 14:04,R_61n2Of0iyz65LPs,qr,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 14:03,2/27/25 14:04,IP Address,100,45,TRUE,2/27/25 14:04,R_6MsqmAAH9856HoR,qr,EN,Female,,,,,,,,Sneaker B,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 14:04,2/27/25 14:05,IP Address,100,41,TRUE,2/27/25 14:05,R_5pnaWIkDyexdbhL,qr,EN,Male,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker A (Regular Release),Sneaker B (Limited Edition Release),,,,,,,
2/27/25 14:07,2/27/25 14:08,IP Address,100,82,TRUE,2/27/25 14:08,R_52ohO5eo0PvP7g1,anonymous,EN,Male,,,,,,,,Sneaker A,Sneaker B,Sneaker B,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker B
2/27/25 14:41,2/27/25 14:42,IP Address,100,69,TRUE,2/27/25 14:42,R_7xJNcCkUt83m2UW,anonymous,EN,Female,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release) for $100-$200,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),,,,,,,
2/27/25 14:48,2/27/25 14:52,IP Address,100,297,TRUE,2/27/25 14:52,R_8R9NP5BeMpiozNy,anonymous,EN,Male,,,,,,,,Sneaker B,Sneaker B,Sneaker B,Sneaker B,Sneaker A for $100-$200,Sneaker B,Sneaker A
2/27/25 15:00,2/27/25 15:02,IP Address,100,98,TRUE,2/27/25 15:02,R_7EopFI6dyvoZTut,qr,EN,Female,,,,,,,,Sneaker B,Sneaker A,Sneaker A,Sneaker A,Sneaker A for $100-$200,Sneaker A,Sneaker A
2/27/25 15:00,2/27/25 15:02,IP Address,100,114,TRUE,2/27/25 15:02,R_7Mvjt3iFchiOX73,qr,EN,Male,Sneaker B (Limited Edition Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker A (Regular Release),Sneaker B (Limited Edition Release) for $200-$300,Sneaker A (Regular Release),Sneaker A (Regular Release),,,,,,,
